event_index,flume_1,rainfall_average_mm,RC
0,0,8.722716049,0
1,0,2.892716049,0
2,10630.15,4.958888889,0.01448416
3,25425.7,14.33185185,0.011986955
4,15730.01,5.041111111,0.021083418
5,223363.31,25.83432099,0.058418859
6,0,5.438888889,0
7,3301.74,4.104814815,0.00543485
8,615608.32,24.51530864,0.169670133
9,1642.66,9.557530864,0.001161289
10,0,9.711481481,0
11,24655.48,7.927654321,0.021013918
12,7370.88,15.82148148,0.003147824
13,58247.76,17.34580247,0.022689406
14,0,2.604320988,0
15,50630.53,27.59777778,0.012395859
16,0,9.175432099,0
17,3112.02,5.589135802,0.003762149
18,0,7.45382716,0
19,0,11.47407407,0
20,0,7.203209877,0
21,0,12.83493827,0
22,0,14.38,0
23,0,6.760123457,0
24,32167.94,29.66185185,0.007327626
25,96390.56,14.8662963,0.043809672
26,0,1.808888889,0
27,0,9.134197531,0
28,0,5.255555556,0
29,0,8.817777778,0
30,12870.01,10.14432099,0.008572237
31,0,3.248641975,0
32,147530.79,30.84641975,0.032315895
33,0,5.746419753,0
34,0,4.151234568,0
35,2490.18,19.28691358,0.000872381
36,3913.39,6.068024691,0.004357567
37,0,9.156049383,0
38,21580.27,9.454074074,0.015423259
39,72094.7,16.35160494,0.029790736
40,20586.35,15.49691358,0.008975785
41,46439.63,8.487160494,0.036971291
42,26884.02,4.167530864,0.043586668
43,47912.11,20.6962963,0.015641952
44,0,5.093950617,0
45,901.61,9.471604938,0.000643181
46,223.96,3.835185185,0.000394568
47,139.21,2.547407407,0.000369241
48,26977.46,10.40148148,0.01752444
49,31771.51,7.03617284,0.03050982
50,128162.06,12.14345679,0.07131082
51,3253.61,2.600493827,0.008453722
52,119808.59,10.48345679,0.077218566
53,457.32,3.897160494,0.000792885
54,0,1.071111111,0
55,3788.79,2.788765432,0.009179665
56,229423.12,9.219012346,0.168147754
57,51876.47,9.023580247,0.038844525
58,999.58,3.322098765,0.002033028
59,29307.94,7.588518519,0.026095558
60,0,8.109012346,0
61,16225.56,5.322962963,0.020596078
62,52301.22,28.2282716,0.01251889
63,0,5.658271605,0
64,11171,3.938148148,0.0191663
65,50998.65,14.90716049,0.023115433
66,0,6.13037037,0
67,11748.66,9.72654321,0.008161465
68,65072.12,10.41925926,0.04219844
69,26530.06,17.46345679,0.010264701
70,2096.58,6.359012346,0.002227717
71,4018.16,7.445308642,0.003646555
72,222825.29,38.4217284,0.039185543
73,384259.65,28.54975309,0.090941206
74,155034.75,11.83604938,0.088503525
75,136402.27,12.14666667,0.07587571
76,0,20.36604938,0
77,0,6.45345679,0
78,21418.87,10.70444444,0.013519814
79,0,7.734444444,0
80,14716.27,14.43,0.006890801
81,0,3.345432099,0
82,0,5.640123457,0
83,0,13.10024691,0
84,0,6.964567901,0
85,10052.48,10.75246914,0.00631689
86,43126.56,12.79901235,0.022767044
87,65128.76,10.1062963,0.043543072
88,116778.69,24.7137037,0.031927436
89,949.75,10.7808642,0.000595243
90,928.51,2.342592593,0.002678108
91,9990.18,8.029012346,0.008407163
92,30015.86,13.10012346,0.015481523
93,0,5.418518519,0
94,3511.29,20.05617284,0.001182924
95,56577.07,9.987530864,0.038275476
96,9418.18,14.34024691,0.004437605
97,340.09,2.469382716,0.000930559
98,3151.67,4.417037037,0.00482112
99,11003.93,4.980740741,0.014927675
100,714.15,4.487407407,0.001075306
101,18451.26,11.66049383,0.010691715
102,91.97,1.51617284,0.00040986
103,557841.95,39.46518519,0.095507023
104,32394.48,10.40259259,0.021041064
105,25275.62,19.67864198,0.008678506
106,0,4.711111111,0
107,0,4.879259259,0
108,57483.21,29.3362963,0.013239574
109,43126.56,14.20024691,0.020520465
110,33413.88,9.029259259,0.025004206
111,0,9.551728395,0
112,1846.54,15.03,0.000830115
113,111540.07,13.6045679,0.05539677
114,0,5.125432099,0
115,21234.81,7.639259259,0.018781722
116,82741.84,13.73740741,0.040696652
117,1.63,3.474197531,3.17E-06
118,7.34,6.394074074,7.76E-06
119,81552.53,26.53839506,0.020763524
120,12422.6,8.17691358,0.010265057
121,1126.73,8.157407407,0.000933267
122,167.86,4.662839506,0.00024324
123,0.38,9.582098765,2.68E-07
124,0,7.758024691,0
125,17.62,6.492592593,1.83E-05
126,11.07,1.365432099,5.48E-05
127,1833.8,11.54790123,0.001072969
128,0,9.754074074,0
129,26637.66,12.95111111,0.013897201
130,55529.34,17.7345679,0.021156323
131,92624.42,16.75407407,0.037354537
132,3650.04,5.645925926,0.004368182
133,86706.19,12.71518519,0.046075038
134,14031,12.34728395,0.00767813
135,18134.11,5.789876543,0.021162415
136,197963.1,37.34716049,0.035814999
137,48535.08,50.02728395,0.006555218
138,0,8.280123457,0
139,0,2.174691358,0
140,0,13.19864198,0
141,0,7.759506173,0
142,0,5.709012346,0
143,0,2.227901235,0
144,0,11.25777778,0
145,0,6.497654321,0
146,14540.7,20.32975309,0.004832718
147,1245.66,8.424074074,0.000999115
148,3.39,20.14049383,1.14E-06
149,0,6.64,0
150,31063.58,15.2508642,0.013762437
151,1384.41,5.744814815,0.001628272
152,862.25,5.416666667,0.001075572
153,9143.51,9.658024691,0.006396802
154,0,3.371111111,0
155,0,1.464444444,0
156,33895.27,8.273950617,0.027679896
157,0,4.506296296,0
158,0,7.936666667,0
159,0,17.21049383,0
160,0,4.722962963,0
161,3893.57,11.79345679,0.00223072
162,39218.84,23.4791358,0.011286283
163,0,6.301481481,0
164,48.73,5.140864198,6.40E-05
165,6470.4,7.509012346,0.005822193
166,103.33,5.865061728,0.00011904
167,682719.25,35.91444444,0.128443248
168,40804.58,5.778024691,0.047716415
169,0,9.55345679,0
170,0,5.57691358,0
171,42418.64,6.680617284,0.042902088
172,1309.09,13.37419753,0.000661363
173,229876.19,37.95876543,0.040918546
174,0,11.31876543,0
175,16854.19,24.44358025,0.004658878
176,0,7.625185185,0
177,839.03,13.16592593,0.00043059
178,30780.42,10.31987654,0.020152936
179,0,2.910123457,0
180,104.69,16.4537037,4.30E-05
181,0,9.97962963,0
182,0,14.81234568,0
183,5561.43,8.649135802,0.004344622
184,72944.21,10.60506173,0.046474627
185,63.6,33.15160494,1.30E-05
186,0,18.55925926,0
187,0,11.93703704,0
188,31.8,47.95259259,4.48E-06
189,1129.84,14.45765432,0.000528029
190,0,9.128271605,0
191,4335.31,7.826296296,0.003742848
192,0,4.250493827,0
193,49497.85,21.16530864,0.015801562
194,173.07,5.598765432,0.000208866
195,85771.74,19.8054321,0.029261608
196,0,1.607160494,0
197,0,0.766296296,0
198,868.19,3.131111111,0.001873504
199,3083.7,5.037654321,0.004136014
200,4018.16,12.31271605,0.002205015
201,25479.5,6.741728395,0.025536298
202,19544.29,8.825432099,0.014963122
203,45108.74,11.96037037,0.025483223
204,59153.9,3.73308642,0.107066504
205,1230.93,4.563580247,0.001822493
206,259977,13.30518519,0.132023818
207,2719.55,8.608148148,0.002134645
208,0,10.94864198,0
209,245.73,9.938518519,0.000167061
210,50.89,13.28938272,2.59E-05
211,1803.78,8.798024691,0.001385277
212,45901.61,19.45407407,0.015942471
213,24352.49,8.477654321,0.019409125
214,0,3.20617284,0
215,0,4.715308642,0
216,111681.66,11.64160494,0.06481974
217,225.71,5.139876543,0.000296713
218,677622.22,32.83382716,0.139445472
219,25623.92,8.029259259,0.02156296
220,0,8.33962963,0
221,78437.67,16.9845679,0.03120387
222,82402.03,9.617160494,0.057893437
223,134306.82,17.7482716,0.051130529
224,10032.66,14.43407407,0.004696404
225,0,4.233333333,0
226,3907.73,4.083950617,0.006465206
227,3780.3,5.581851852,0.004576002
228,38709.13,4.667654321,0.056034179
229,674.22,7.425555556,0.000613495
230,77446.58,16.46197531,0.031787662
231,0,10.65530864,0
232,0,3.752098765,0
233,70537.27,25.75135802,0.018507885
234,0,1.504814815,0
235,0,11.96851852,0
236,11666.54,9.610987654,0.00820186
237,97296.7,15.17851852,0.043311878
238,22492.07,8.920123457,0.017037146
239,0,10.22308642,0
